iter	Passed	Remaining
581	960	689
582	961	687
583	962	685
584	963	683
585	965	681
586	966	679
587	967	678
588	969	676
589	970	674
590	971	672
591	973	671
592	974	669
593	975	667
594	977	665
595	978	663
596	979	661
597	981	659
598	982	657
599	983	655
600	985	654
601	986	652
602	988	650
603	989	648
604	990	646
605	991	644
606	992	642
607	994	641
608	995	639
609	996	637
610	999	636
611	1000	634
612	1001	632
613	1003	630
614	1004	628
615	1005	626
616	1006	625
617	1007	623
618	1009	621
619	1010	619
620	1012	617
621	1013	616
622	1015	614
623	1016	612
624	1017	610
625	1018	608
626	1020	606
627	1021	605
628	1022	603
629	1024	601
630	1026	600
631	1027	598
632	1029	596
633	1030	594
634	1031	593
635	1033	591
636	1034	589
637	1035	587
638	1037	586
639	1039	584
640	1040	582
641	1042	581
642	1044	579
643	1046	578
644	1047	576
645	1048	574
646	1049	572
647	1050	570
648	1052	569
649	1053	567
650	1055	565
651	1056	563
652	1057	562
653	1058	560
654	1060	558
655	1061	556
656	1062	554
657	1063	552
658	1064	550
659	1065	549
660	1067	547
661	1068	545
662	1069	543
663	1071	542
664	1072	540
665	1073	538
666	1074	536
667	1076	534
668	1077	532
669	1078	531
670	1079	529
671	1082	528
672	1084	526
673	1085	524
674	1086	523
675	1087	521
676	1089	519
677	1090	517
678	1091	516
679	1093	514
680	1094	512
681	1096	511
682	1097	509
683	1098	507
684	1099	505
685	1100	503
686	1101	502
687	1103	500
688	1104	498
689	1105	496
690	1106	494
691	1108	493
692	1110	491
693	1111	489
694	1112	488
695	1113	486
696	1114	484
697	1115	482
698	1116	480
699	1117	479
700	1119	477
701	1120	475
702	1122	474
703	1123	472
704	1125	470
705	1126	469
706	1127	467
707	1128	465
708	1130	463
709	1131	462
710	1132	460
711	1133	458
712	1134	456
713	1136	455
714	1137	453
715	1139	452
716	1141	450
717	1142	448
718	1143	446
719	1144	445
720	1146	443
721	1147	441
722	1148	440
723	1149	438
724	1151	436
725	1152	434
726	1153	433
727	1154	431
728	1166	433
729	1172	433
730	1173	431
731	1175	430
732	1176	428
733	1177	426
734	1179	425
735	1180	423
736	1182	421
737	1183	420
738	1185	418
739	1187	417
740	1189	415
741	1190	413
742	1193	412
743	1195	411
744	1198	410
745	1199	408
746	1200	406
747	1201	404
748	1203	403
749	1204	401
750	1205	399
751	1206	397
752	1208	396
753	1209	394
754	1210	392
755	1211	391
756	1220	391
757	1221	390
758	1223	388
759	1225	386
760	1226	385
761	1228	383
762	1229	381
763	1230	380
764	1231	378
765	1233	376
766	1234	375
767	1235	373
768	1237	371
769	1238	370
770	1240	368
771	1241	366
772	1242	364
773	1244	363
774	1246	361
775	1247	360
776	1248	358
777	1250	356
778	1251	355
779	1253	353
780	1254	351
781	1255	350
782	1257	348
783	1258	346
784	1259	344
785	1260	343
786	1261	341
787	1262	339
788	1264	338
789	1265	336
790	1267	334
791	1268	333
792	1269	331
793	1273	330
794	1276	329
795	1278	327
796	1281	326
797	1282	324
798	1284	323
799	1285	321
800	1287	319
801	1289	318
802	1292	317
803	1294	315
804	1295	313
805	1296	312
806	1297	310
807	1298	308
808	1300	306
809	1301	305
810	1302	303
811	1306	302
812	1307	300
813	1309	299
814	1311	297
815	1313	296
816	1314	294
817	1315	292
818	1317	291
819	1319	289
820	1321	288
821	1322	286
822	1324	284
823	1325	283
824	1326	281
825	1328	279
826	1329	278
827	1330	276
828	1331	274
829	1333	273
830	1334	271
831	1335	269
832	1337	268
833	1339	266
834	1340	264
835	1342	263
836	1343	261
837	1344	260
838	1346	258
839	1348	256
840	1350	255
841	1352	253
842	1353	252
843	1354	250
844	1356	248
845	1357	247
846	1358	245
847	1359	243
848	1361	242
849	1362	240
850	1364	238
851	1365	237
852	1366	235
853	1367	233
854	1369	232
855	1370	230
856	1371	228
857	1372	227
858	1375	225
859	1377	224
860	1378	222
861	1379	220
862	1381	219
863	1382	217
864	1384	216
865	1385	214
866	1386	212
867	1388	211
868	1389	209
869	1391	207
870	1394	206
871	1395	204
872	1397	203
873	1399	201
874	1400	200
875	1402	198
876	1403	196
877	1404	195
878	1405	193
879	1407	191
880	1408	190
881	1410	188
882	1411	187
883	1412	185
884	1413	183
885	1415	182
886	1417	180
887	1418	178
888	1420	177
889	1421	175
890	1422	174
891	1424	172
892	1425	170
893	1426	169
894	1427	167
895	1430	166
896	1431	164
897	1433	162
898	1434	161
899	1435	159
900	1436	157
901	1437	156
902	1439	154
903	1440	152
904	1441	151
905	1443	149
906	1444	148
907	1445	146
908	1447	144
909	1448	143
910	1449	141
911	1450	139
912	1451	138
913	1452	136
914	1454	135
915	1455	133
916	1457	131
917	1458	130
918	1459	128
919	1461	127
920	1462	125
921	1463	123
922	1464	122
923	1465	120
924	1466	118
925	1467	117
926	1469	115
927	1470	114
928	1472	112
929	1473	110
930	1474	109
931	1476	107
932	1477	106
933	1478	104
934	1480	102
935	1481	101
936	1482	99
937	1484	98
938	1485	96
939	1486	94
940	1488	93
941	1489	91
942	1490	90
943	1492	88
944	1493	86
945	1494	85
946	1496	83
947	1498	82
948	1499	80
949	1500	78
950	1502	77
951	1503	75
952	1504	74
953	1506	72
954	1507	71
955	1508	69
956	1509	67
957	1511	66
958	1512	64
959	1514	63
960	1515	61
961	1516	59
962	1517	58
963	1519	56
964	1520	55
965	1521	53
966	1522	51
967	1524	50
968	1526	48
969	1527	47
970	1529	45
971	1531	44
972	1532	42
973	1534	40
974	1535	39
975	1536	37
976	1538	36
977	1539	34
978	1541	33
979	1543	31
980	1544	29
981	1545	28
982	1547	26
983	1549	25
984	1550	23
985	1551	22
986	1553	20
987	1554	18
988	1555	17
989	1557	15
990	1558	14
991	1559	12
992	1560	11
993	1562	9
994	1563	7
995	1564	6
996	1565	4
997	1566	3
998	1568	1
999	1569	0
